Inspection,Entropy,Coverage
0.81,0.596018389740559,28.57143
0.51,0.769106220237896,44.89796
0.33,0.674376566478164,24.4898
0.01,0.815516316508282,42.85714
0.01,0.714751190518874,30.61225
0.2,0.790368767810364,44.89796
0.00990099,0.939794001537834,18.36735
