X,Z,Visits
0,0,0
0,50,0
0,100,0
0,150,0
0,200,0
0,250,0
0,300,0
50,0,0
50,50,3
50,100,6
50,150,5
50,200,0
50,250,0
50,300,0
100,0,0
100,50,2
100,100,0
100,150,3
100,200,0
100,250,0
100,300,0
150,0,0
150,50,2
150,100,1
150,150,4
150,200,2
150,250,1
150,300,0
200,0,0
200,50,1
200,100,2
200,150,4
200,200,0
200,250,1
200,300,1
250,0,0
250,50,0
250,100,2
250,150,4
250,200,2
250,250,2
250,300,2
300,0,0
300,50,0
300,100,0
300,150,0
300,200,0
300,250,0
300,300,0
Entropy: 0.728451
