X,Z,Visits
0,0,0
0,50,0
0,100,0
0,150,0
0,200,0
0,250,0
0,300,0
50,0,1
50,50,0
50,100,1
50,150,1
50,200,0
50,250,0
50,300,0
100,0,2
100,50,1
100,100,1
100,150,1
100,200,0
100,250,0
100,300,0
150,0,3
150,50,4
150,100,1
150,150,2
150,200,2
150,250,1
150,300,0
200,0,5
200,50,6
200,100,2
200,150,1
200,200,1
200,250,0
200,300,0
250,0,3
250,50,0
250,100,0
250,150,0
250,200,0
250,250,0
250,300,0
300,0,2
300,50,1
300,100,1
300,150,0
300,200,0
300,250,0
300,300,0
Entropy: 0.7658709
