Time,Interest Value
0,0
0.5000001,0
0.9999996,0
1.499999,0
1.999999,0
2.499998,0
2.999998,0
3.499997,0
3.999997,0
4.499997,0
4.999996,0
5.499996,0
5.999995,0.001037932
6.499995,0.0006149876
6.999994,0.0006149876
7.499994,0.0006149876
7.999993,0.0006149876
8.500005,0.0006149876
9.000016,0.0006149876
9.500028,0.0006149876
10.00004,0.0006149876
10.50005,0.0006149876
11.00006,0.0006149876
11.50007,0.0006149876
12.00008,0.0006149876
12.5001,0.0006149876
13.00011,0.0006149876
13.50012,0.0006149876
14.00013,0.0006149876
14.50014,0.0006149876
15.00015,0.0004010771
15.50016,0.0004010771
16.00018,0.0004010771
16.50019,0.0004010771
17.0002,0.0004010771
17.50021,0.0004010771
18.00022,0.0004010771
18.50023,0.0004010771
19.00024,0.001772814
19.50026,0.001772814
20.00027,0.001772814
20.50028,0.001772814
21.00029,0.001772814
21.5003,0.001772814
22.00031,0.001772814
22.50032,0.001772814
23.00034,0.001772814
23.50035,0.001772814
24.00036,0.001772814
24.50037,0.001772814
25.00038,0.001772814
25.50039,0.001772814
26.0004,0.001772814
26.50042,0.001772814
27.00043,0.001772814
27.50044,0.001772814
28.00045,0.001772814
28.50046,0.001772814
29.00047,0.001772814
29.50048,0.001772814
30.0005,0.001772814
30.50051,0.001772814
31.00052,0.001772814
31.50053,0.001772814
32.00054,0.001772814
32.50055,0.001772814
33.00056,0.001772814
33.50058,0.001772814
34.00059,0.001772814
34.5006,0.001772814
35.00061,0.001772814
35.50062,0.001772814
36.00063,0.001772814
36.50064,0.001772814
37.00066,0.001772814
37.50067,0.001772814
38.00068,0.001772814
38.50069,0.001772814
39.0007,0.001772814
39.50071,0.001772814
40.00072,0.001772814
40.50074,0.001772814
41.00075,0.001772814
41.50076,0.001772814
42.00077,0.001772814
42.50078,0.001772814
43.00079,0.001772814
43.5008,0.001772814
44.00082,0.001772814
44.50083,0.001772814
45.00084,0.001772814
45.50085,0.0002003365
46.00086,0.0002003365
46.50087,0.0002003365
47.00089,0.0002003365
47.5009,0.0002003365
48.00091,0.0002003365
48.50092,0.0002003365
49.00093,0.0002003365
49.50094,0.7128371
50.00095,0.5031178
50.50097,0.4565049
51.00098,0.4565049
51.50099,0.4565049
52.001,0.4565049
52.50101,0.4565049
53.00102,0.4565049
53.50103,0.4565049
54.00105,0.4565049
54.50106,0.4565049
55.00107,0.4565049
55.50108,0.4565049
56.00109,0.4565049
56.5011,0.4565049
57.00111,0.001113698
57.50113,0.001113698
58.00114,0.001113698
58.50115,0.001113698
59.00116,0.001113698
59.50117,0.001113698
60.00118,0.001113698
60.50119,0.001113698
61.00121,0.001113698
61.50122,0.001113698
62.00123,0.001113698
62.50124,0.001113698
63.00125,0.001113698
63.50126,0.001113698
64.00127,0.001113698
64.50119,0.001113698
65.00111,0.0003605598
65.50102,0.0003605598
66.00094,0.0008892914
66.50085,0.0008892914
67.00077,0.0008892914
67.50069,0.0008892914
68.0006,0.0008892914
68.50052,0.0008892914
69.00043,0.0008892914
69.50035,0.0008892914
70.00027,0.0008892914
70.50018,0.0008892914
71.0001,0.0008892914
71.50002,0.0008892914
71.99993,0.0008892914
72.49985,0.0003032615
72.99976,0.0003032615
73.49968,0.0003032615
73.9996,0.0003032615
74.49951,0.0003032615
74.99943,0.0003032615
75.49934,0.0003032615
75.99926,0.0003032615
76.49918,0.0003032615
76.99909,0.0003032615
77.49901,0.0003032615
77.99892,0.0003032615
78.49884,0.0003032615
78.99876,0.0003032615
79.49867,0.0004744206
79.99859,0.0003337223
80.4985,0.0003337223
80.99842,0.0003337223
81.49834,0.0003337223
81.99825,0.0003337223
82.49817,0.0003337223
82.99809,0.0003337223
83.498,0.0003337223
83.99792,0.0003337223
84.49783,0.0003337223
84.99775,0.0003337223
85.49767,0.0006639129
85.99758,0.0003791703
86.4975,0.0003791703
86.99741,0.0003791703
87.49733,0.0003791703
87.99725,0.0003791703
88.49716,0.0003791703
88.99708,0.0003791703
89.49699,0.0003791703
89.99691,0.0003791703
90.49683,0.0003791703
90.99674,0.0003791703
91.49666,0.0003791703
91.99657,0.0003791703
92.49649,0.0003791703
92.99641,0.0003791703
93.49632,0.0003791703
93.99624,0.0003791703
94.49615,0.0003791703
94.99607,0.0003791703
95.49599,0.0003791703
95.9959,0.0003791703
96.49582,0.0003791703
96.99574,0.8779553
97.49565,0.8515647
97.99557,0.8515647
98.49548,0.8515647
98.9954,0.8515647
99.49532,0.8515647
99.99523,0.8515647
100.4951,0.836525
100.9951,0.836525
101.495,0.836525
101.9949,0.836525
102.4948,0.836525
102.9947,0.836525
103.4946,0.6451986
103.9946,0.6451986
104.4945,0.6451986
104.9944,0.0005422565
105.4943,0.001289278
105.9942,0.8594925
106.4941,0.9417424
106.9941,0.7435772
107.494,0.7214916
107.9939,0.7214916
108.4938,0.7214916
108.9937,0.7497073
109.4936,0.9398571
109.9936,0.7627774
110.4935,0.7627774
110.9934,0.7627774
111.4933,0.7393643
111.9932,0.7923933
112.4931,0.700297
112.993,0.8571771
113.493,0.6766381
113.9929,0.0004934822
114.4928,0.0004934822
114.9927,0.0004934822
115.4926,0.0004934822
115.9925,0.0004934822
116.4925,0.0004934822
116.9924,0.0004934822
117.4923,0.4671687
117.9922,0.407423
118.4921,0.407423
118.992,0.407423
119.492,0.407423
119.9919,0.407423
120.4918,0.407423
120.9917,0.407423
121.4916,0.407423
121.9915,0.407423
122.4915,0.4855299
122.9914,0.5639301
123.4913,0.56393
123.9912,0.56393
124.4911,0.56393
124.991,0.56393
125.491,0.3407202
125.9909,0.4103363
126.4908,0.936217
126.9907,0.7348287
127.4906,0.9311736
127.9905,0.7887753
128.4906,0.797349
128.9907,0.7939929
129.4908,0.8200207
129.991,0.6882938
130.4911,0.7395814
130.9912,0.6747307
131.4913,0.6747307
131.9914,0.6747307
132.4915,0.6747307
132.9916,0.6747307
133.4917,0.6747307
133.9918,0.6747307
134.4919,0.6747307
134.992,0.6747307
135.4921,0.5785469
135.9922,0.4639314
136.4923,0.4110906
136.9924,0.4480527
137.4926,0.0007242098
137.9927,0.0007242098
138.4928,0.0007242098
138.9929,0.0007242098
139.493,0.0007242098
139.9931,0.0007242098
140.4932,0.0007242098
140.9933,0.0007242098
141.4934,0.0007242098
141.9935,0.4339195
142.4936,0.4339195
142.9937,0.4339195
143.4938,0.4339195
143.9939,0.4339195
144.494,0.4339195
144.9942,0.4339195
145.4943,0.4339195
145.9944,0.4339195
146.4945,0.4339195
146.9946,0.5807776
147.4947,0.001768685
147.9948,0.001768685
148.4949,0.001768685
148.995,0.001768685
149.4951,0.001768685
149.9952,0.001768685
150.4953,0.001768685
150.9954,0.001768685
151.4955,0.001768685
151.9957,0.001768685
152.4958,0.001768685
152.9959,0.001768685
153.496,0.001768685
153.9961,0.5665622
154.4962,0.5665622
154.9963,0.5665622
155.4964,0.5665622
155.9965,1.446717E-06
156.4966,4.14641E-09
156.9967,4.14641E-09
157.4968,4.14641E-09
157.9969,4.14641E-09
158.497,4.14641E-09
158.9971,4.14641E-09
159.4973,4.14641E-09
159.9974,4.14641E-09
160.4975,4.14641E-09
160.9976,4.14641E-09
161.4977,4.14641E-09
161.9978,4.14641E-09
162.4979,4.14641E-09
162.998,4.14641E-09
163.4981,4.14641E-09
163.9982,4.14641E-09
164.4983,4.14641E-09
164.9984,4.14641E-09
165.4985,4.14641E-09
165.9986,4.14641E-09
166.4987,4.14641E-09
166.9989,4.14641E-09
167.499,4.14641E-09
167.9991,4.14641E-09
168.4992,4.14641E-09
168.9993,4.14641E-09
169.4994,4.14641E-09
169.9995,4.14641E-09
170.4996,4.14641E-09
170.9997,4.14641E-09
171.4998,0.0004400346
171.9999,0.0003729856
172.5,0.0003729856
173.0001,0.0003729856
173.5002,0.0001293533
174.0004,0.0001293533
174.5005,0.0001293533
175.0006,0.0001293533
175.5007,0.0001293533
176.0008,0.0001293533
176.5009,0.0001293533
177.001,0.0001293533
177.5011,0.0001293533
178.0012,0.0001293533
178.5013,0.0001293533
179.0014,0.0001293533
179.5015,0.0001293533
180.0016,0.0001293533
