X,Z,Visits
0,0,0
0,50,0
0,100,0
0,150,0
0,200,1
0,250,2
0,300,0
50,0,0
50,50,0
50,100,0
50,150,0
50,200,0
50,250,1
50,300,0
100,0,0
100,50,0
100,100,0
100,150,1
100,200,2
100,250,2
100,300,0
150,0,0
150,50,1
150,100,2
150,150,3
150,200,3
150,250,2
150,300,0
200,0,1
200,50,1
200,100,2
200,150,2
200,200,2
200,250,2
200,300,0
250,0,1
250,50,1
250,100,2
250,150,2
250,200,2
250,250,1
250,300,0
300,0,1
300,50,1
300,100,1
300,150,1
300,200,0
300,250,0
300,300,0
Entropy: 0.8563843
