Time,Novelty Score
0.8627414,0.049894
1.871275,0.04995725
2.873835,0.04998337
3.875568,0.04995064
4.877188,0.04997112
5.887428,0.04992204
6.887924,0.04992114
7.88879,0.04993771
8.889554,0.04992763
9.891502,0.04997089
10.89249,0.04990397
11.89321,0.04992461
12.8946,0.04996113
13.89592,0.04995418
14.89698,0.04990777
15.89816,0.04993157
16.89855,0.04990348
17.90039,0.04999103
18.90096,0.04992233
19.90219,0.04995603
20.90311,0.04993615
21.90548,0.04992344
22.90805,0.0498701
23.90838,0.04977801
24.91028,0.04999518
25.91122,0.04994585
26.91153,0.04988775
27.91285,0.04996535
28.916,0.04948439
29.91722,0.04990602
30.91788,0.04993267
31.91915,0.04995222
32.91936,0.04990645
33.92006,0.04990596
34.92176,0.04997972
35.92553,0.04999125
36.93171,0.04971837
37.93417,0.04995587
38.93555,0.04996539
39.93627,0.04993254
40.93759,0.04996321
41.94192,0.04963678
42.94235,0.04990019
43.94555,0.04996976
44.946,0.04982696
45.94794,0.04999765
46.94841,0.04992199
47.95015,0.0499853
48.95104,0.04994355
49.96054,0.04988271
50.96278,0.0499556
51.96634,0.04996201
52.96777,0.04984337
53.96906,0.04993962
54.97176,0.04997713
55.97231,0.04988864
56.97305,0.04989113
57.98101,0.04978311
58.98164,0.04992054
59.98303,0.04991784
60.9859,0.04990109
61.98613,0.04976581
62.9878,0.04995923
63.98973,0.0499308
64.99026,0.04986976
65.9922,0.04991889
66.99653,0.04998362
67.99859,0.04998776
68.99942,0.04993914
70.00124,0.04998272
71.00212,0.04945008
72.0064,0.0499997
73.00868,0.04995734
74.0098,0.04994997
75.01095,0.04993664
76.01295,0.04994116
77.01457,0.04997979
78.01573,0.04994905
79.01579,0.04989333
80.01754,0.04998368
81.01785,0.04991261
82.02014,0.04996185
83.02023,0.04990655
84.02154,0.04996249
85.02239,0.0499386
86.02652,0.04999833
87.02956,0.04994321
88.0302,0.04992402
89.03033,0.04989674
90.03186,0.04996519
91.03298,0.04992105
92.03479,0.04998573
93.03977,0.04996503
94.03986,0.04988386
95.04007,0.04990482
96.04151,0.04993677
97.04251,0.04987205
98.04269,0.0498627
99.04623,0.04995321
100.0465,0.04978566
101.047,0.04979366
102.0482,0.04983746
103.0501,0.04995751
104.0515,0.0499524
105.0517,0.04988469
106.0522,0.04986721
107.0524,0.04983914
108.0537,0.04989272
109.0559,0.04992177
110.0583,0.04994721
111.0608,0.04995393
112.0627,0.04992547
113.0636,0.04987599
114.0667,0.04986792
115.0695,0.04988261
116.0734,0.04996501
117.0762,0.04997895
118.0772,0.04988435
119.0784,0.04993214
120.0799,0.04997321
121.083,0.04997145
122.0835,0.04984758
123.0868,0.04996084
124.087,0.04989969
125.0874,0.04991769
126.0897,0.04998074
127.0922,0.04954036
128.0936,0.04995116
129.0953,0.04997382
130.0957,0.04991366
131.097,0.04994678
132.0992,0.04999994
133.0993,0.04989671
134.0998,0.0499136
135.1081,0.04981427
136.1087,0.04991822
137.1089,0.04988609
138.1097,0.0499188
139.1111,0.04996429
140.1127,0.04997589
141.1137,0.04994041
142.1136,0.04989387
143.1248,0.04996216
144.1264,0.04988585
145.128,0.04997198
146.1288,0.0499325
147.1297,0.04992934
148.1336,0.04991117
149.1357,0.04996214
150.1362,0.04988719
151.1366,0.04988009
152.138,0.04996286
153.1381,0.04989508
154.1403,0.04999803
155.1405,0.04957388
156.1437,0.04954039
157.1453,0.04989009
158.1466,0.04995025
159.1499,0.04999099
160.1512,0.04992441
161.1512,0.04985053
162.1526,0.04996626
163.1539,0.04994081
164.1552,0.04997057
165.1566,0.04996466
166.158,0.0499645
167.1595,0.04997316
168.1607,0.04995887
169.1683,0.04980761
170.1684,0.04990062
171.1694,0.04995134
172.1711,0.04997593
173.1723,0.04995804
174.1724,0.04990361
175.174,0.04998229
176.1746,0.04992983
177.1753,0.04993294
178.177,0.04998044
179.177,0.04989928
