Time,Novelty Score
0.4208578,0
1.428187,0
2.439414,0.1
3.458371,0.04991486
4.458456,0.0494751
5.46649,0.04985954
6.468098,0.04961315
7.473108,0.04946052
8.484284,0.04953305
9.488575,0.04959863
10.49168,0.0496381
11.49402,0.04959641
12.49972,0.04962439
13.50318,0.04945122
14.50853,0.04975215
15.51535,0.04981479
16.51946,0.04961007
17.52758,0.04980351
18.54964,0.04998159
19.55983,0.04985309
20.56337,0.04938647
21.5665,0.04955539
22.57114,0.04967964
23.58002,0.04984887
24.58551,0.04968358
25.60427,0.04985063
26.60909,0.04961316
27.61863,0.1498791
28.6287,0.1999901
29.63893,0.2496995
30.65742,0.1992062
31.66743,0.2994942
32.66996,0.2475613
33.67522,0.2479985
34.68316,0.3490435
35.69134,0.2959035
36.7021,0.2994899
37.71071,0.2995407
38.72057,0.2992302
39.72596,0.2981051
40.73162,0.2987321
41.73314,0.2974199
42.7342,0.2477868
43.74562,0.1999286
44.74809,0.09925523
45.75277,0.09948283
46.75409,0.1991305
47.7632,0.3495767
48.76976,0.3459942
49.77491,0.2985364
50.78114,0.2983375
51.78455,0.2949802
52.79158,0.2991702
53.79612,0.2984117
54.80244,0.2981304
55.80665,0.2479677
56.80669,0.2471151
57.80948,0.2482246
58.81184,0.1961303
59.82205,0.149802
60.82716,0.09925415
61.83171,0.0994738
62.83217,0.09904135
63.83426,0.09922157
64.84449,0.1998528
65.84503,0.2483369
66.85284,0.299555
67.85959,0.248742
68.86497,0.2484788
69.87063,0.2459853
70.87825,0.2490217
71.88686,0.249244
72.89345,0.249107
73.89979,0.2486558
74.90821,0.2496307
75.91395,0.2489764
76.93118,0.2486558
77.94039,0.1995173
78.9454,0.1986427
79.9505,0.1990463
80.95605,0.2987737
81.96395,0.2491027
82.9672,0.2479262
83.97134,0.2485616
84.97355,0.248099
85.97534,0.247963
86.97861,0.2479337
87.97868,0.2449674
88.98625,0.2489532
89.99078,0.198937
90.99349,0.198575
91.99965,0.198897
93.0023,0.1486751
94.00485,0.09907924
95.00497,0.09877116
96.00819,0.09915293
97.01287,0.04974119
98.01395,0.04956387
99.01981,0.04967844
100.0325,0.04940915
101.0344,0.04960498
102.0443,0.04991712
103.0539,0.0499905
104.057,0.04960904
105.0617,0.04960886
106.0678,0.04972097
107.0734,0.04977687
108.0761,0.04963999
109.0797,0.04955745
110.0824,0.1495538
111.0831,0.09891439
112.086,0.09912281
113.0898,0.09939241
114.0952,0.09955356
115.0953,0.09902472
116.1,0.09931848
117.1013,0.04947919
118.1043,0.04957006
119.11,0.04919485
120.1104,0.04953153
121.1164,0.04917363
122.1231,0.04975514
123.1236,0.04944525
124.1311,0.04988105
125.1348,0.04969164
126.1455,0.04994607
127.15,0.04973318
128.1683,0.04982378
129.1736,0.04976521
130.1823,0.04986395
131.1872,0.0496239
132.1982,0.04998036
133.203,0.04965761
134.2114,0.04992584
135.2229,0.04957089
136.2251,0.04948765
137.2321,0.0497687
138.2419,0.04990206
139.2489,0.04985498
140.2551,0.04981112
141.2605,0.04969707
142.2679,0.04974024
143.2717,0.04969424
144.2751,0.04966716
145.2814,0.04973341
146.2866,0.04967457
147.2906,0.04970033
148.2942,0.04967599
149.3048,0.04995146
150.3095,0.049737
151.3134,0.04970258
152.3241,0.04994845
153.3306,0.04983592
154.3376,0.04926197
155.3465,0.04986663
156.3537,0.04986279
157.3643,0.04990934
158.3724,0.04991229
159.3818,0.0498836
160.3916,0.04998665
161.4045,0.04964236
162.41,0.04977711
163.4155,0.0491747
164.4205,0.04966914
165.4236,0.04914837
166.4323,0.04993803
167.4343,0.04897424
168.4389,0.04964756
169.4415,0.04912069
170.4466,0.04967694
171.4514,0.04915425
172.4557,0.04971397
173.46,0.04919193
174.4613,0.04946905
175.464,0.04955446
176.4697,0.04979406
177.4777,0.04931134
178.4847,0.04973092
179.4914,0.04984495
