Time,X,Z
0.02,212,276.3
0.04,212,276.3
0.06,212,276.3
0.08,212,276.3
0.09999999,211.4089,277.1359
0.12,211.3041,277.0401
0.14,211.1067,276.8595
0.16,210.9222,276.6908
0.18,210.7757,276.5568
0.2,210.6231,276.4173
0.22,210.4962,276.3012
0.24,210.3275,276.1468
0.26,210.1929,276.0238
0.28,210.0395,275.8825
0.3,209.9073,275.758
0.32,209.8155,275.6715
0.34,209.6101,275.4779
0.36,209.4584,275.335
0.38,209.3224,275.2068
0.4,209.1686,275.062
0.42,209.0326,274.9339
0.4400001,208.9065,274.815
0.4600001,208.7509,274.6685
0.4800001,208.5978,274.5182
0.5000001,208.4646,274.3859
0.52,208.3275,274.2495
0.54,208.1877,274.1106
0.56,208.0386,273.9625
0.58,207.9046,273.8293
0.6,207.8397,273.7648
0.6199999,207.6156,273.5421
0.6399999,207.4711,273.3985
0.6599999,207.3356,273.2626
0.6799999,207.1975,273.1237
0.6999999,207.0571,272.983
0.7199998,206.9147,272.8411
0.7399998,206.7798,272.7075
0.7599998,206.6394,272.5692
0.7799998,206.5002,272.4328
0.7999998,206.3473,272.2838
0.8199998,206.2195,272.16
0.8399997,206.0692,272.0152
0.8599997,205.9314,271.881
0.8799997,205.7864,271.7358
0.8999997,205.7171,271.6647
0.9199997,205.5202,271.4625
0.9399996,205.3722,271.3106
0.9599996,205.2375,271.1723
0.9799996,205.106,271.0373
0.9999996,204.9563,270.8836
1.02,204.814,270.7375
1.04,204.6835,270.6038
1.06,204.5363,270.4531
1.08,204.4103,270.3243
1.1,204.2766,270.1876
1.12,204.1223,270.0298
1.14,203.994,269.8986
1.159999,203.8588,269.7603
1.179999,203.7063,269.6043
1.199999,203.6173,269.5133
1.219999,203.4421,269.335
1.239999,203.2947,269.187
1.259999,203.1547,269.0466
1.279999,203.0136,268.905
1.299999,202.8772,268.7681
1.319999,202.7469,268.6374
1.339999,202.6017,268.4917
1.359999,202.4524,268.3418
1.379999,202.3114,268.2004
1.399999,202.1731,268.0551
1.419999,202.0526,267.9199
1.439999,201.9107,267.7606
1.459999,201.79,267.6252
1.479999,201.6576,267.4765
1.499999,201.5401,267.3446
1.519999,201.39,267.1761
1.539999,201.266,267.0369
1.559999,201.1281,266.8821
1.579999,201.0095,266.7131
1.599999,200.9169,266.5552
1.619999,200.8234,266.396
1.639999,200.7141,266.2097
1.659999,200.6148,266.0407
1.679999,200.5163,265.8728
1.699999,200.4115,265.6942
1.719999,200.314,265.5281
1.739999,200.2361,265.3609
1.759999,200.1856,265.1627
1.779999,200.1394,264.9816
1.799999,200.0933,264.801
1.819999,200.0439,264.6071
1.839999,199.9942,264.4125
1.859999,199.9419,264.2075
1.879999,199.9011,264.0476
1.899999,199.8669,263.8314
1.919999,199.8586,263.6242
1.939999,199.8519,263.4573
1.959999,199.8474,263.3447
1.979999,199.8353,263.0422
1.999999,199.8277,262.8547
2.019999,199.82,262.6623
2.039999,199.8115,262.4484
2.059999,199.812,262.2621
2.079999,199.8178,262.0589
2.099999,199.8231,261.8737
2.119999,199.8288,261.6756
2.139999,199.8346,261.4729
2.159999,199.8397,261.295
2.179999,199.8458,261.0822
2.199999,199.8513,260.8895
2.219999,199.8518,260.6991
2.239999,199.849,260.5093
2.259999,199.8473,260.395
2.279999,199.8429,260.1046
2.299999,199.84,259.9151
2.319999,199.8372,259.7291
2.339998,199.8341,259.5168
2.359998,199.8312,259.3266
2.379998,199.826,259.1295
2.399998,199.82,258.9317
2.419998,199.8146,258.7523
2.439998,199.8084,258.5483
2.459998,199.8022,258.3441
2.479998,199.796,258.1394
2.499998,199.7904,257.9543
2.519998,199.7845,257.7613
2.539998,199.785,257.555
2.559998,199.7861,257.4012
2.579998,199.7877,257.1706
2.599998,199.789,256.9785
2.619998,199.7905,256.7646
2.639998,199.7917,256.5911
2.659998,199.7932,256.3786
2.679998,199.7947,256.1758
2.699998,199.7977,255.9982
2.719998,199.8011,255.8005
2.739998,199.8045,255.6075
2.759998,199.808,255.4072
2.779998,199.8114,255.2078
2.799998,199.815,255.0012
2.819998,199.8185,254.8015
2.839998,199.8216,254.6149
2.859998,199.8226,254.4306
2.879998,199.8237,254.2315
2.899998,199.8248,254.0259
2.919998,199.8257,253.8442
2.939998,199.8269,253.6267
2.959998,199.8279,253.4279
2.979998,199.829,253.2309
2.999998,199.8292,253.0348
3.019998,199.8268,252.934
3.039998,199.8204,252.6611
3.059998,199.8155,252.4518
3.079998,199.8112,252.2666
3.099998,199.8062,252.0536
3.119998,199.8017,251.8635
3.139998,199.7974,251.6767
3.159998,199.7934,251.4774
3.179998,199.7917,251.2737
3.199998,199.79,251.0669
3.219998,199.7885,250.883
3.239998,199.7868,250.6797
3.259998,199.7852,250.4886
3.279998,199.7835,250.2817
3.299998,199.7819,250.0909
3.319998,199.7811,249.9583
3.339998,199.7893,249.6805
