Time,Novelty Score
1.004748,0.09943394
2.00895,0.09948019
3.013741,0.09859004
4.019953,0.1995453
5.030703,0.149989
6.034726,0.148956
7.043172,0.1496269
8.044911,0.1488737
9.052728,0.2497669
10.05499,0.1982475
11.05669,0.1981301
12.06098,0.2986643
13.07779,0.2494753
14.07877,0.2475237
15.08324,0.248181
16.09073,0.2496088
17.10188,0.2477557
18.10242,0.2473406
19.10979,0.2495337
20.11882,0.2492443
21.12731,0.2497905
22.131,0.2458613
23.1325,0.2480879
24.14658,0.2483889
25.15815,0.2499457
26.17486,0.2489889
27.18193,0.2486729
28.18425,0.2482556
29.20135,0.2492033
30.21627,0.2489672
31.22482,0.2498609
32.2317,0.2491834
33.24016,0.2492326
34.24583,0.2489868
35.2495,0.2484972
36.25446,0.2485252
37.26126,0.2488052
38.26203,0.2475291
39.27504,0.2484377
40.27629,0.2475459
41.28485,0.2491299
42.28515,0.2471027
43.29033,0.2488281
44.3004,0.2476055
45.30177,0.2476544
46.31693,0.248913
47.32454,0.2487809
48.33754,0.2485417
49.33888,0.247484
50.34857,0.2499186
51.3588,0.2497856
52.36625,0.2483856
53.3679,0.248024
54.37395,0.1969798
55.38414,0.1997605
56.38649,0.1489108
57.38796,0.1485102
58.39431,0.09955456
59.40257,0.09886483
60.40317,0.09895581
61.40946,0.09954324
62.41563,0.09946942
63.42311,0.09955247
64.42406,0.09885857
65.44285,0.09988553
66.45248,0.09995003
67.46003,0.09950113
68.4619,0.09906165
69.46539,0.09863156
70.471,0.0996068
71.4755,0.04967943
72.4843,0.04996867
73.48466,0.04955933
74.48491,0.04950286
75.49023,0.04977058
76.49711,0.04971194
77.50527,0.04991569
78.50539,0.04954471
79.51929,0.04976111
80.51999,0.04944285
81.52126,0.04911881
82.5294,0.04995132
83.53347,0.04962678
84.54054,0.04980677
85.5408,0.04942374
86.54333,0.04957162
87.54822,0.04976912
88.55083,0.04966164
89.55438,0.04952728
90.56263,0.04984462
91.56488,0.04949615
92.5712,0.04980835
93.57643,0.04968503
94.57679,0.04943951
95.58445,0.04981115
96.58598,0.04959292
97.59144,0.04978961
98.60384,0.0496049
99.6069,0.04967828
100.617,0.04956028
101.6247,0.04992346
102.633,0.04990947
103.6422,0.04988441
104.6436,0.04949753
105.6497,0.04983157
106.656,0.0497731
107.6655,0.04999679
108.6706,0.04978399
109.6809,0.04998102
110.6909,0.04999369
111.6917,0.04957741
112.692,0.04954699
113.6921,0.1495114
114.6981,0.09948576
115.6993,0.09895719
116.707,0.09982702
117.7105,0.09917707
118.7231,0.09929544
119.732,0.09995011
120.7385,0.09957418
121.7403,0.09911256
122.7492,0.1999377
123.7597,0.1498954
124.7658,0.1494921
125.7709,0.2493254
126.7816,0.1997439
127.787,0.2968884
128.7964,0.2495451
129.8033,0.2464163
130.8094,0.1993556
131.8175,0.1494892
132.8253,0.1497941
133.8257,0.09909901
134.8285,0.09935448
135.831,0.09930833
136.8371,0.09946244
137.8437,0.09955256
138.8529,0.09995594
139.8621,0.09973813
140.8783,0.09971113
141.8862,0.09986321
142.8985,0.09932704
143.9073,0.09994017
144.9201,0.09935571
145.927,0.09976164
146.9274,0.09910674
147.9324,0.09954295
148.9371,0.04967516
149.9438,0.04912069
150.9453,0.04960508
151.9518,0.0498534
152.959,0.04981013
153.9638,0.04969517
154.9674,0.04971291
155.9765,0.04990584
156.9779,0.04910287
157.9815,0.04959769
158.9861,0.04975507
159.9973,0.04997562
161.0056,0.0499253
162.0105,0.04978421
163.0165,0.04973442
164.022,0.04969594
165.0361,0.04973694
166.0447,0.04996141
167.0542,0.04989057
168.0624,0.04984389
169.0755,0.04968179
170.0821,0.04970336
171.088,0.04974369
172.0993,0.04999181
173.105,0.04968157
174.1071,0.04958795
175.1095,0.04957683
176.1123,0.04967035
177.1168,0.04969842
178.1253,0.04996192
179.1347,0.04993534
