X,Z,Visits
0,0,1
0,50,2
0,100,1
0,150,1
0,200,0
0,250,0
0,300,0
50,0,0
50,50,1
50,100,0
50,150,1
50,200,1
50,250,0
50,300,0
100,0,1
100,50,1
100,100,0
100,150,0
100,200,1
100,250,0
100,300,0
150,0,2
150,50,4
150,100,0
150,150,0
150,200,1
150,250,1
150,300,0
200,0,0
200,50,5
200,100,1
200,150,0
200,200,0
200,250,1
200,300,0
250,0,3
250,50,4
250,100,1
250,150,1
250,200,0
250,250,0
250,300,0
300,0,1
300,50,1
300,100,1
300,150,1
300,200,0
300,250,0
300,300,0
Entropy: 0.8235851
