Time,Interest Value
0,0
0.5000001,0.001631588
0.9999996,0.001631588
1.499999,0.001631588
1.999999,0.001631588
2.499998,0.001631588
2.999998,0.001631588
3.499997,0.2004032
3.999997,0.001631588
4.499997,0.001631588
4.999996,0.001631588
5.499996,0.001631588
5.999995,0.001631588
6.499995,0.001631588
6.999994,0.7207445
7.499994,0.6841525
7.999993,0.848636
8.500005,0.6166093
9.000016,0.5852281
9.500028,0.5557517
10.00004,0.5271767
10.50005,0.7096972
11.00006,0.4946952
11.50007,0.1986258
12.00008,0.1987437
12.5001,0.1996152
13.00011,0.001631588
13.50012,0.001631588
14.00013,0.001631588
14.50014,1
15.00015,1
15.50016,1
16.00018,1
16.50019,1
17.0002,1
17.50021,1
18.00022,1
18.50023,1
19.00024,1
19.50026,1
20.00027,0.001631588
20.50028,0.001631588
21.00029,0.001631588
21.5003,0.001631588
22.00031,0.001631588
22.50032,0.001631588
23.00034,0.001631588
23.50035,0.001631588
24.00036,0.001631588
24.50037,0.001631588
25.00038,0.001631588
25.50039,0.001631588
26.0004,0.001631588
26.50042,0.001631588
27.00043,0.001631588
27.50044,1
28.00045,1
28.50046,1
29.00047,1
29.50048,1
30.0005,1
30.50051,1
31.00052,1
31.50053,1
32.00054,1
32.50055,1
33.00056,1
33.50058,1
34.00059,1
34.5006,1
35.00061,1
35.50062,1
36.00063,1
36.50064,1
37.00066,1
37.50067,1
38.00068,1
38.50069,1
39.0007,1
39.50071,1
40.00072,1
40.50074,1
41.00075,1
41.50076,1
42.00077,1
42.50078,1
43.00079,1
43.5008,1
44.00082,1
44.50083,1
45.00084,1
45.50085,1
46.00086,1
46.50087,1
47.00089,1
47.5009,0.523324
48.00091,0.94436
48.50092,0.7757427
49.00093,1
49.50094,1
50.00095,0.7573078
50.50097,0.1993653
51.00098,0.2011807
51.50099,0.001631588
52.001,0.001631588
52.50101,0.001631588
53.00102,0.001631588
53.50103,0.001631588
54.00105,0.001631588
54.50106,0.001631588
55.00107,0.001631588
55.50108,1
56.00109,1
56.5011,1
57.00111,1
57.50113,0.9279941
58.00114,0.8987078
58.50115,0.855177
59.00116,0.7083318
59.50117,0.4696638
60.00118,0.4643893
60.50119,0.4451186
61.00121,0.4065665
61.50122,0.5318672
62.00123,0.2894552
62.50124,0.00101992
63.00125,0.00101992
63.50126,0.1978855
64.00127,0.001301988
64.50119,1
65.00111,1
65.50102,1
66.00094,1
66.50085,1
67.00077,1
67.50069,1
68.0006,1
68.50052,1
69.00043,1
69.50035,1
70.00027,1
70.50018,1
71.0001,1
71.50002,1
71.99993,1
72.49985,1
72.99976,1
73.49968,1
73.9996,1
74.49951,1
74.99943,1
75.49934,1
75.99926,1
76.49918,1
76.99909,1
77.49901,1
77.99892,0.001301988
78.49884,0.001301988
78.99876,0.001301988
79.49867,0.001301988
79.99859,0.001301988
80.4985,0.1996078
80.99842,0.2002053
81.49834,0.200384
81.99825,0.1988581
82.49817,1
82.99809,1
83.498,1
83.99792,1
84.49783,1
84.99775,1
85.49767,1
85.99758,1
86.4975,1
86.99741,1
87.49733,1
87.99725,1
88.49716,1
88.99708,1
89.49699,1
89.99691,1
90.49683,1
90.99674,1
91.49666,1
91.99657,1
92.49649,1
92.99641,1
93.49632,1
93.99624,1
94.49615,0.9492
94.99607,1
95.49599,0.9480026
95.9959,0.9756898
96.49582,0.1981737
96.99574,0.1977966
97.49565,0.1979652
97.99557,0.1978266
98.49548,0.2001721
98.9954,0.001301988
99.49532,0.001301988
99.99523,0.001301988
100.4951,0.001301988
100.9951,0.001301988
101.495,0.001301988
101.9949,0.001301988
102.4948,0.001301988
