Time,Interest Value
0,0
0.5000001,0.1266821
0.9999996,0.02348721
1.499999,0.5386181
1.999999,0.2802612
2.499998,0.2631685
2.999998,0.2357228
3.499997,0.4315726
3.999997,0.3983929
4.499997,0.3720575
4.999996,0.3720575
5.499996,0.3720575
5.999995,0.3720575
6.499995,0.3720575
6.999994,0.98269
7.499994,0.9794241
7.999993,0.9794241
8.500005,0.5711434
9.000016,4.429638E-06
9.500028,1.346307E-07
10.00004,1.346307E-07
10.50005,1.346307E-07
11.00006,1.346307E-07
11.50007,1.346307E-07
12.00008,3.834701E-07
12.5001,0
13.00011,9.279914E-06
13.50012,1.337177E-07
14.00013,1.337177E-07
14.50014,1.933704E-06
15.00015,2.549135E-06
15.50016,1.326851E-07
16.00018,1.326851E-07
16.50019,1.326851E-07
17.0002,1.326851E-07
17.50021,1.326851E-07
18.00022,1.326851E-07
18.50023,1.326851E-07
19.00024,1.326851E-07
19.50026,1.326851E-07
20.00027,1.326851E-07
20.50028,1.326851E-07
21.00029,1.326851E-07
21.5003,1.326851E-07
22.00031,1.326851E-07
22.50032,1.326851E-07
23.00034,0.9230944
23.50035,0.9230944
24.00036,0.8885885
24.50037,0.8730958
25.00038,0.8730958
25.50039,0.8367414
26.0004,0.7479604
26.50042,0.7446898
27.00043,0.663236
27.50044,0.6371569
28.00045,0.6230426
28.50046,0.519887
29.00047,0.5678818
29.50048,0.5678818
30.0005,0.5678818
30.50051,0.5678818
31.00052,0.5678818
31.50053,0.5678818
32.00054,0.5678818
32.50055,0.5678818
33.00056,0.5678818
33.50058,0.5678818
34.00059,0.5678818
34.5006,0.5678818
35.00061,0.5678818
35.50062,0.5678818
36.00063,0.5678818
36.50064,0.5678818
37.00066,0.5678818
37.50067,0.9904328
38.00068,0.9995612
38.50069,0.9783755
39.0007,0.9895148
39.50071,0.9826607
40.00072,0.9918238
40.50074,0.9828429
41.00075,0.9702709
41.50076,0.9990325
42.00077,0.9686283
42.50078,0.9660217
43.00079,0.9480014
43.5008,0.9563282
44.00082,0.8844285
44.50083,0.8290311
45.00084,0.8405628
45.50085,0.8022011
46.00086,0.8051057
46.50087,0.7575962
47.00089,0.7551175
47.5009,0.7947457
48.00091,0.686105
48.50092,0.6420516
49.00093,0.6964595
49.50094,0.9075897
50.00095,0.9550404
50.50097,0.7370208
51.00098,0.6342636
51.50099,0.7539176
52.001,0.7038962
52.50101,0.5920722
53.00102,0.6142688
53.50103,0.5996858
54.00105,0.6322567
54.50106,0.4929909
55.00107,0.5057415
55.50108,0.5152633
56.00109,0.4064701
56.5011,0.6132285
57.00111,0.4381276
57.50113,0.3208082
58.00114,0.3036718
58.50115,0.7085605
59.00116,0.3875691
59.50117,0.3341979
60.00118,0.4621245
60.50119,0.4621245
61.00121,0.9984201
61.50122,0.9984201
62.00123,0.4789234
62.50124,0.7634247
63.00125,0.4185851
63.50126,0.3980193
64.00127,0.3671472
64.50119,0.3141015
65.00111,0.2595962
65.50102,0.2379736
66.00094,0.1865358
66.50085,0.1842065
67.00077,0.2886829
67.50069,0.5631475
68.0006,0.5044186
